fixture_id,date,match_time,region_league,home_team,away_team,home_team_id,away_team_id,home_score,away_score,match_status,status,match_link,last_updated
A7YDir0l,07.02.2026,07.02.2026 10:30,Unknown,Brozany,Admira Prague,UkaqAx75,pb7cIgFA,2,1,finished,,https://www.flashscore.com/match/football/admira-prague-UkaqAx75/brozany-pb7cIgFA/?mid=A7YDir0l,2026-02-13T12:28:17.378430
pCUBGKl3,07.02.2026,07.02.2026 10:30,Unknown,Dnepr Mogilev,FC Gomel,Ac6FOcar,As405FJb,1,2,finished,,https://www.flashscore.com/match/football/dnepr-mogilev-Ac6FOcar/fc-gomel-As405FJb/?mid=pCUBGKl3,2026-02-13T12:28:17.423915
0jxVHPe3,07.02.2026,07.02.2026 10:30,WORLD: - Club Friendly,Varnsdorf (Cze),Hradek nad Nisou (Cze),Uqe7mwdr,IsUetO2E,,,scheduled,,https://www.flashscore.com/match/football/hradek-nad-nisou-Uqe7mwdr/varnsdorf-IsUetO2E/?mid=0jxVHPe3,2026-02-13T12:28:17.488579
Ek4LMQSH,07.02.2026,07.02.2026 10:45,Unknown,Tuloy,Philippine Army,jq7MrgUe,rRQRJSjO,6,2,finished,,https://www.flashscore.com/match/football/philippine-army-jq7MrgUe/tuloy-rRQRJSjO/?mid=Ek4LMQSH,2026-02-13T12:28:18.551249
YV1xRaje,07.02.2026,07.02.2026 11:00,Unknown,AS Roma U20,Genoa U20,YF6nYqJ7,zDpdICPp,0,0,finished,,https://www.flashscore.com/match/football/as-roma-YF6nYqJ7/genoa-zDpdICPp/?mid=YV1xRaje,2026-02-13T12:28:18.988785
8lIcYsbL,07.02.2026,07.02.2026 11:00,Unknown,Monza U20,Lecce U20,boEfbzat,tEbXWFBs,0,2,finished,,https://www.flashscore.com/match/football/lecce-boEfbzat/monza-tEbXWFBs/?mid=8lIcYsbL,2026-02-13T12:28:19.076712
CUlTIWNi,13.02.2026,13.02.2026 14:00,KENYA: - Premier League,Bidco United,Kakamega Homeboyz,0zjHr0CN,OfdPtDuK,,,scheduled,,https://www.flashscore.com/match/football/bidco-united-0zjHr0CN/kakamega-homeboyz-OfdPtDuK/?mid=CUlTIWNi,2026-02-13T12:28:19.474457
08SBDmgB,07.02.2026,07.02.2026 11:00,TAIWAN: - Mulan Football League Women,Hualien W,Hang Yuan W,U5BqZHjM,StiKSFTk,,,scheduled,,https://www.flashscore.com/match/football/hang-yuan-U5BqZHjM/hualien-StiKSFTk/?mid=08SBDmgB,2026-02-13T12:28:19.527319
4tZ2F9Ob,07.02.2026,07.02.2026 11:00,TAIWAN: - Mulan Football League Women,Taipei Bravo W,Taichung Sakura W,K22PejaU,ljhGTeEq,,,scheduled,,https://www.flashscore.com/match/football/taichung-sakura-K22PejaU/taipei-bravo-ljhGTeEq/?mid=4tZ2F9Ob,2026-02-13T12:28:19.579827
SYYITwT1,07.02.2026,,Unknown,Ceske Budejovice,SK Kladno,bJ4XSQ6B,Q7o2x7yO,0,1,finished,,https://www.flashscore.com/match/football/ceske-budejovice-bJ4XSQ6B/sk-kladno-Q7o2x7yO/?mid=SYYITwT1,2026-02-13T12:28:19.629021
v3JuULde,07.02.2026,,Unknown,I. Bratislava,Hodonin,pn7nNssO,WKAu7QHk,5,3,finished,,https://www.flashscore.com/match/football/hodonin-pn7nNssO/inter-bratislava-WKAu7QHk/?mid=v3JuULde,2026-02-13T12:28:20.070801
jyI6dhJa,07.02.2026,,Unknown,Papai Perutz,Slovan Bratislava B,K6gF1jy6,bckff8uk,1,1,finished,,https://www.flashscore.com/match/football/papai-perutz-K6gF1jy6/slovan-bratislava-bckff8uk/?mid=jyI6dhJa,2026-02-13T12:32:01.427245
fBP8LPzR,07.02.2026,,Unknown,Maardu,Riga Mariners,2JBESAb4,YNePMSDd,1,1,finished,,https://www.flashscore.com/match/football/maardu-linnameeskond-2JBESAb4/riga-mariners-YNePMSDd/?mid=fBP8LPzR,2026-02-13T12:32:01.504607
I58WBpxg,07.02.2026,,Unknown,Meyrin,Bavois,KYurXCc1,bwPdAduF,1,0,finished,,https://www.flashscore.com/match/football/bavois-KYurXCc1/meyrin-bwPdAduF/?mid=I58WBpxg,2026-02-13T12:32:01.579121
Mqfpbqo1,07.02.2026,,Unknown,Norrby,Onsala,MHuLo5uE,jP5H2PRp,1,0,finished,,https://www.flashscore.com/match/football/norrby-MHuLo5uE/onsala-jP5H2PRp/?mid=Mqfpbqo1,2026-02-13T12:32:01.743369
ziZiUgoQ,07.02.2026,,Unknown,Nove Mesto na Morave,Caslav,dUG4Tade,KxebJGZ7,1,1,finished,,https://www.flashscore.com/match/football/caslav-dUG4Tade/nove-mesto-na-morave-KxebJGZ7/?mid=ziZiUgoQ,2026-02-13T12:32:01.835777
W8lpKTmA,07.02.2026,,Unknown,ROW Rybnik,Pawlowice,pdloLHt5,Qs2yl1Ap,8,0,finished,,https://www.flashscore.com/match/football/pniowek-pawlowice-pdloLHt5/row-rybnik-Qs2yl1Ap/?mid=W8lpKTmA,2026-02-13T12:32:01.917369
2eZhnqUQ,07.02.2026,,Unknown,SK Hranice,Valasske Mezirici,2LvrICqk,rqGT8v2f,5,1,finished,,https://www.flashscore.com/match/football/sk-hranice-2LvrICqk/valasske-mezirici-rqGT8v2f/?mid=2eZhnqUQ,2026-02-13T12:32:02.014454
WbLNfZkT,07.02.2026,,Unknown,Skierniewice,Zabki,l42F3w54,p4liCUzG,5,1,finished,,https://www.flashscore.com/match/football/unia-skierniewice-l42F3w54/zabkovia-zabki-p4liCUzG/?mid=WbLNfZkT,2026-02-13T12:32:02.132947
jDFggwhB,07.02.2026,,Unknown,Sturm Graz II,Taborsko,8IZ6QvUS,Ac5V8ZVI,1,1,finished,,https://www.flashscore.com/match/football/sturm-8IZ6QvUS/taborsko-Ac5V8ZVI/?mid=jDFggwhB,2026-02-13T12:32:02.232486
fB3kehz1,07.02.2026,,Unknown,Suduva,Suwalki,zT1dAfJo,8h64p2iG,3,2,finished,,https://www.flashscore.com/match/football/suduva-zT1dAfJo/suwalki-8h64p2iG/?mid=fB3kehz1,2026-02-13T12:32:02.369688
IPMFOjIM,07.02.2026,,Unknown,Vlasim,FK Ceska Lipa,hER2FTE0,xjRqQOmL,3,0,finished,,https://www.flashscore.com/match/football/fk-ceska-lipa-hER2FTE0/vlasim-xjRqQOmL/?mid=IPMFOjIM,2026-02-13T12:32:02.489310
xMFfZKXN,07.02.2026,,Unknown,Cherno More,Spartak Varna,EeRUF2go,zof0uk4j,0,0,finished,,https://www.flashscore.com/match/football/cherno-more-EeRUF2go/spartak-varna-zof0uk4j/?mid=xMFfZKXN,2026-02-13T12:32:02.573308
z9TczyoK,07.02.2026,,Unknown,Hatayspor,Erokspor,rPvKSntq,ENFkH8NH,0,5,finished,,https://www.flashscore.com/match/football/erokspor-rPvKSntq/hatayspor-ENFkH8NH/?mid=z9TczyoK,2026-02-13T12:32:02.736226
l0LAEgO0,07.02.2026,,Unknown,Sariyer,Sivasspor,fNtKGmxb,OvblvwLr,1,0,finished,,https://www.flashscore.com/match/football/sariyer-fNtKGmxb/sivasspor-OvblvwLr/?mid=l0LAEgO0,2026-02-13T12:32:02.865876
pQs72sDc,07.02.2026,,Unknown,First Vienna,Nurnberg II,Eez3RKEM,Murrx1M1,3,2,finished,,https://www.flashscore.com/match/football/first-vienna-Eez3RKEM/nurnberg-Murrx1M1/?mid=pQs72sDc,2026-02-13T12:32:03.169392
KAMmG7Kq,07.02.2026,,Unknown,Flora,Ogre United,zLFV5ykn,Iu5ZbGPT,1,0,finished,,https://www.flashscore.com/match/football/flora-zLFV5ykn/ogre-united-Iu5ZbGPT/?mid=KAMmG7Kq,2026-02-13T12:32:03.318378
08f6T4pK,07.02.2026,,Unknown,Dynamik,Le Messager Ngozi,UgQBRKqh,I38oQfPB,1,3,finished,,https://www.flashscore.com/match/football/dynamik-UgQBRKqh/le-messager-ngozi-I38oQfPB/?mid=08f6T4pK,2026-02-13T12:32:03.397394
EHT69SZ2,07.02.2026,,Unknown,Phnom Penh Crown,NagaWorld,nTwXs8l1,65FkANOd,2,1,finished,,https://www.flashscore.com/match/football/nagaworld-nTwXs8l1/phnom-penh-crown-65FkANOd/?mid=EHT69SZ2,2026-02-13T12:32:03.480036
4zrUxcKG,07.02.2026,,Unknown,Vikingur Reykjavik,Njardvik,EmdDbQ5p,hdKpCN4d,1,1,finished,,https://www.flashscore.com/match/football/njardvik-EmdDbQ5p/vikingur-reykjavik-hdKpCN4d/?mid=4zrUxcKG,2026-02-13T12:32:03.581843
hzsgzXxh,07.02.2026,,Unknown,Lightstars,Real Maldives,z1fAInfF,zLwAvKwG,1,1,finished,,https://www.flashscore.com/match/football/lightstars-z1fAInfF/real-maldives-zLwAvKwG/?mid=hzsgzXxh,2026-02-13T12:32:03.684112
lCNCtL4j,07.02.2026,,Unknown,Eibar W,Granada CF W,MRdeqIXu,8b8GcEs5,0,2,finished,,https://www.flashscore.com/match/football/eibar-MRdeqIXu/granada-cf-8b8GcEs5/?mid=lCNCtL4j,2026-02-13T12:32:03.849122
WletDqQa,07.02.2026,,Unknown,Bitburg,Eintracht Trier,fcRriAA5,tfIBWbQG,0,6,finished,,https://www.flashscore.com/match/football/bitburg-fcRriAA5/eintracht-trier-tfIBWbQG/?mid=WletDqQa,2026-02-13T12:32:03.923958
Qa9lA5yI,07.02.2026,,Unknown,FBK Karlstad,Enkopings SK,AiiibTti,rmBzOFgo,2,1,finished,,https://www.flashscore.com/match/football/enkopings-sk-AiiibTti/fbk-karlstad-rmBzOFgo/?mid=Qa9lA5yI,2026-02-13T12:32:04.001596
nZVRo8SI,07.02.2026,,Unknown,Karpaty Lviv,GAIS,bJewAOTf,tCBNq3le,0,1,finished,,https://www.flashscore.com/match/football/gais-bJewAOTf/karpaty-lviv-tCBNq3le/?mid=nZVRo8SI,2026-02-13T12:32:04.150878
W8JJmeRp,07.02.2026,,Unknown,Mieszko,Sroda,4nVARl12,OxzAt3QR,2,2,finished,,https://www.flashscore.com/match/football/ks-mieszko-gniezno-4nVARl12/polonia-sroda-wielkopol-OxzAt3QR/?mid=W8JJmeRp,2026-02-13T12:32:04.216821
2XE0YxNh,07.02.2026,,Unknown,Pari NN,Yenisey,IFM1GxUm,ATSg3tMn,0,0,finished,,https://www.flashscore.com/match/football/pari-nizhny-novgorod-IFM1GxUm/yenisey-ATSg3tMn/?mid=2XE0YxNh,2026-02-13T12:32:04.288442
QLvVAfgA,07.02.2026,,Unknown,Elfsborg W,Goteborg W,zNtd7ux2,xSKvWOE2,2,3,finished,,https://www.flashscore.com/match/football/elfsborg-zNtd7ux2/ifk-goteborg-xSKvWOE2/?mid=QLvVAfgA,2026-02-13T12:32:04.380094
ptYiarGL,07.02.2026,,Unknown,Aluminium Arak,Zob Ahan,tSKMsunB,6HP7tgt2,1,0,finished,,https://www.flashscore.com/match/football/aluminium-arak-tSKMsunB/zob-ahan-6HP7tgt2/?mid=ptYiarGL,2026-02-13T12:32:04.442442
S2lcd1SQ,07.02.2026,,Unknown,Genoa W,Lazio W,jT8EW0aL,fmSQFSYG,2,5,finished,,https://www.flashscore.com/match/football/genoa-jT8EW0aL/lazio-fmSQFSYG/?mid=S2lcd1SQ,2026-02-13T12:32:04.505824
WKd8D90E,07.02.2026,,Unknown,Balestier Khalsa,Tampines,lK4UsSns,KbVkFR8P,0,3,finished,,https://www.flashscore.com/match/football/balestier-khalsa-lK4UsSns/tampines-KbVkFR8P/?mid=WKd8D90E,2026-02-13T12:32:04.572039
